Date,Game,Boxscore Link
"Wednesday, April 12, 2023",St. Louis Cardinals (3) @ Colorado Rockies (3),https://www.baseball-reference.com/teams/STL/2023.shtml
"Wednesday, April 12, 2023",Chicago White Sox (3) @ Minnesota Twins (5),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Wednesday, April 12, 2023",San Diego Padres (5) @ New York Mets (3),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Wednesday, April 12, 2023",Miami Marlins (7) @ Philadelphia Phillies (7),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Wednesday, April 12, 2023",Houston Astros (10) @ Pittsburgh Pirates (10),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Wednesday, April 12, 2023",Los Angeles Dodgers (9) @ San Francisco Giants (9),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Wednesday, April 12, 2023",Boston Red Sox (9) @ Tampa Bay Rays (10),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Wednesday, April 12, 2023",Kansas City Royals (4) @ Texas Rangers (4),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Wednesday, April 12, 2023",Detroit Tigers (4) @ Toronto Blue Jays (8),https://www.baseball-reference.com/teams/DET/2023.shtml
"Thursday, April 13, 2023",Oakland Athletics (8) @ Baltimore Orioles (6),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Thursday, April 13, 2023",Philadelphia Phillies (6) @ Cincinnati Reds (11),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Thursday, April 13, 2023",Minnesota Twins (4) @ New York Yankees (4),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Thursday, April 13, 2023",Milwaukee Brewers (5) @ San Diego Padres (5),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Thursday, April 13, 2023",Pittsburgh Pirates (9) @ St. Louis Cardinals (9),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Thursday, April 13, 2023",Boston Red Sox (9) @ Tampa Bay Rays (3),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Thursday, April 13, 2023",Detroit Tigers (5) @ Toronto Blue Jays (5),https://www.baseball-reference.com/teams/DET/2023.shtml
"Friday, April 14, 2023",Los Angeles Angels (5) @ Boston Red Sox (6),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Friday, April 14, 2023",Baltimore Orioles (8) @ Chicago White Sox (8),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Friday, April 14, 2023",Philadelphia Phillies (7) @ Cincinnati Reds (7),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Friday, April 14, 2023",San Francisco Giants (7) @ Detroit Tigers (6),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Friday, April 14, 2023",Texas Rangers (10) @ Houston Astros (10),https://www.baseball-reference.com/teams/TEX/2023.shtml
"Friday, April 14, 2023",Atlanta Braves (8) @ Kansas City Royals (8),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Friday, April 14, 2023",Chicago Cubs (5) @ Los Angeles Dodgers (5),https://www.baseball-reference.com/teams/CHC/2023.shtml
"Friday, April 14, 2023",Arizona D'Backs (5) @ Miami Marlins (4),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Friday, April 14, 2023",Minnesota Twins (17) @ New York Yankees (17),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Friday, April 14, 2023",New York Mets (11) @ Oakland Athletics (11),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Friday, April 14, 2023",Milwaukee Brewers (5) @ San Diego Padres (5),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Friday, April 14, 2023",Colorado Rockies (5) @ Seattle Mariners (3),https://www.baseball-reference.com/teams/COL/2023.shtml
"Friday, April 14, 2023",Pittsburgh Pirates (3) @ St. Louis Cardinals (6),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Friday, April 14, 2023",Tampa Bay Rays (6) @ Toronto Blue Jays (4),https://www.baseball-reference.com/teams/TBR/2023.shtml
"Friday, April 14, 2023",Cleveland Guardians (9) @ Washington Nationals (9),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Saturday, April 15, 2023",Los Angeles Angels (9) @ Boston Red Sox (7),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Saturday, April 15, 2023",Baltimore Orioles (7) @ Chicago White Sox (13),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Saturday, April 15, 2023",Philadelphia Phillies (13) @ Cincinnati Reds (7),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Saturday, April 15, 2023",San Francisco Giants (7) @ Detroit Tigers (8),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Saturday, April 15, 2023",Texas Rangers (8) @ Houston Astros (9),https://www.baseball-reference.com/teams/TEX/2023.shtml
